PriceArea,ConsumerType_DE35,Combination
DK1,111,DK1111
DK2,111,DK2111
DK1,112,DK1112
DK2,112,DK2112
DK1,119,DK1119
DK2,119,DK2119
DK1,121,DK1121
DK2,121,DK2121
DK1,122,DK1122
DK2,122,DK2122
DK1,123,DK1123
DK2,123,DK2123
DK1,130,DK1130
DK2,130,DK2130
DK1,211,DK1211
DK2,211,DK2211
DK1,212,DK1212
DK2,212,DK2212
DK1,215,DK1215
DK2,215,DK2215
DK1,220,DK1220
DK2,220,DK2220
DK1,310,DK1310
DK2,310,DK2310
DK1,320,DK1320
DK2,320,DK2320
DK1,330,DK1330
DK2,330,DK2330
DK1,340,DK1340
DK2,340,DK2340
DK1,350,DK1350
DK2,350,DK2350
DK1,360,DK1360
DK2,360,DK2360
DK1,370,DK1370
DK2,370,DK2370
DK1,381,DK1381
DK2,381,DK2381
DK1,382,DK1382
DK2,382,DK2382
DK1,390,DK1390
DK2,390,DK2390
DK1,410,DK1410
DK2,410,DK2410
DK1,421,DK1421
DK2,421,DK2421
DK1,422,DK1422
DK2,422,DK2422
DK1,431,DK1431
DK2,431,DK2431
DK1,432,DK1432
DK2,432,DK2432
DK1,433,DK1433
DK2,433,DK2433
DK1,441,DK1441
DK2,441,DK2441
DK1,442,DK1442
DK2,442,DK2442
DK1,443,DK1443
DK2,443,DK2443
DK1,444,DK1444
DK2,444,DK2444
DK1,445,DK1445
DK2,445,DK2445
DK1,446,DK1446
DK2,446,DK2446
DK1,447,DK1447
DK2,447,DK2447
DK1,450,DK1450
DK2,450,DK2450
DK1,461,DK1461
DK2,461,DK2461
DK1,462,DK1462
DK2,462,DK2462
DK1,999,DK1999
DK2,999,DK2999
